feature,importance
gaze_on_script,0.14613525388387089
head_yaw,0.12855040493250622
head_pitch,0.0718602901554484
hand_obj_interaction,0.06588144903155294
face_conf,0.05806000071071022
phone_present,0.05037831548241503
head_roll,0.04445963935490408
gazePoint_y,0.043071222820967134
phone_conf,0.04111403058981226
phone_loc_x,0.03442490633505437
phone_loc_y,0.032691598115100834
gazePoint_x,0.026553594134387345
face_h,0.023863770887302196
face_w,0.02072524411415465
pupil_right_x,0.019734772433571374
right_eye_x,0.016802234618751744
pupil_right_y,0.016636946180167235
pupil_left_y,0.016512196773339965
nose_tip_x,0.014338834730188408
right_eye_y,0.01429680047783619
face_x,0.014023607720327387
pupil_left_x,0.013071939224200389
face_y,0.01296222338348046
mouth_x,0.012110275311016442
mouth_y,0.011844867684130211
nose_tip_y,0.011517174699181164
left_eye_x,0.010947936987908092
left_eye_y,0.008495876657645288
no_of_face,0.005980261031824991
left_hand_x,0.004859826189448891
hand_count,0.00232794676667106
left_hand_y,0.0022943298834246285
right_hand_x,0.002031755303621708
right_hand_y,0.0014053075378891028
face_present,3.516585718891784e-05
